batsman_pkey,smart_runs,runs,dismissals,balls,no_innings,average_nominal,strike_rate_nominal,R_0_nominal,R_nominal,SA,SSR,R_0,R
11.0,2607.3208483777853,2521.0,60,1838,74,42.016666666666666,137.15995647442872,0.34289989118607184,0.548639825897715,43.45534747296309,141.8564117724584,0.941231064593346,0.547056278704558
47.0,628.2238482985824,532.0,21,380,21,25.333333333333332,140.0,0.35,0.5599999999999999,29.915421347551543,165.3220653417322,0.8389514918380419,0.48051892451965056
12.0,1417.1285689380459,1250.0,38,768,48,32.89473684210526,162.76041666666666,0.40690104166666663,0.6510416666666666,37.292857077316995,184.52194908047474,1.0329748815904156,0.6067396610395002
21.0,3412.3717146565573,2963.0,67,1828,84,44.223880597014926,162.08971553610505,0.4052242888402626,0.6483588621444202,50.93092111427698,186.67241327442875,1.2474868207134047,0.746289098779769
44.0,1613.0734323312072,1514.0,60,1149,69,25.233333333333334,131.76675369886857,0.3294168842471714,0.5270670147954742,26.88455720552012,140.3893326659014,0.6855446769646313,0.38072105383406635
35.0,412.87168830935826,409.0,21,304,26,19.476190476190474,134.53947368421052,0.3363486842105263,0.5381578947368422,19.660556586159917,135.8130553649205,0.5570577145635482,0.29713464165890996
3.0,1051.8333851162643,990.0,43,663,58,23.023255813953487,149.3212669683258,0.3733031674208145,0.5972850678733032,24.46124151433173,158.64756939913488,0.728023286486108,0.40835525498364345
10.0,24.462168639597976,41.0,3,46,8,13.666666666666666,89.1304347826087,0.22282608695652176,0.35652173913043483,9.465776346962201,108.79609770874248,0.2868428531037487,0.12134800647232542
39.0,-2.252919806659073,12.0,5,34,9,2.4,35.294117647058826,0.08823529411764706,0.1411764705882353,3.9046804808876643,94.93561070754654,0.14323600336801698,0.027925443522191923
37.0,45.36879559898347,56.0,8,54,13,7.0,103.70370370370371,0.2592592592592593,0.41481481481481486,6.254443397222026,116.73469729809817,0.27284532847185483,0.11224200192953672
32.0,24.328539278653786,45.0,4,49,9,11.25,91.83673469387755,0.22959183673469385,0.36734693877551017,8.07555112409507,108.22634025020298,0.263460477273728,0.10613674404352318
